happy, 😀
blushing, 😊
grin, 😄
grin squint, 😆
tongue, 😛
tongue wink, 😜
tongue squint, 😝
laugh, 😂
laugh hard, 🤣
yum, 😋
hugging, 🤗
wink, 😉
kiss, 😘
heart eyes, 😍
star eyes, 🤩
sweat, 😅
smirk,😏
pleased, 😌
cool, 😎
upside down, 🙃
angry, 😠
crying, 😭
sleep, 😴
disappointed, 😞
pensive, 😔
pleading, 🥺
sad, 🙁
worry, 😟
ouch, 😣
eye roll, 🙄
shushing, 🤫
skeptical, 🤨
not amused, 😒
neutral, 😐
flat face, 😑
thinking, 🤔
monocle, 🧐
confused, 😕

clap, 👏
wave, 👋
thumbs down, 👎
thumbs up, 👍
hands raised, 🙌
pray, 🙏
shrug, 🤷

eyes, 👀
clown, 🤡
devil, 😈
devil mad, 👿
skull, 💀
ghost, 👻
robot, 🤖
poop, 💩

dancing, 💃
party, 🎉
tahdah, 🎉
sparkles, ✨
fire, 🔥

heart, ❤
heart sparkle, 💖
heart grow, 💗
heart purp, 💜
heart blue, 💙
heart green, 💚
heart yellow, 💛
heart orange, 🧡
heart black, 🖤
heart break, 💔
